Region/Country/Area,,Year,Series,Capital City,Capital City footnote,Value,Footnotes
12,Algeria,2005,Capital city population (thousands),Algiers,,"2,282",Refers to the Governorate of Grand Algiers.
12,Algeria,2005,Capital city population (as a percentage of total population),Algiers,,6.9,Refers to the Governorate of Grand Algiers.
12,Algeria,2005,Capital city population (as a percentage of total urban population),Algiers,,10.7,Refers to the Governorate of Grand Algiers.
12,Algeria,2010,Urban population (percent),,,67.5,
12,Algeria,2010,Urban population (percent growth rate per annum),,,2.8,Data refers to a 5-year period preceding the reference year.
12,Algeria,2010,Rural population (percent growth rate per annum),,,-0.5,Data refers to a 5-year period preceding the reference year.
12,Algeria,2010,Capital city population (thousands),Algiers,,"2,432",Refers to the Governorate of Grand Algiers.
12,Algeria,2010,Capital city population (as a percentage of total population),Algiers,,6.7,Refers to the Governorate of Grand Algiers.
12,Algeria,2010,Capital city population (as a percentage of total urban population),Algiers,,10,Refers to the Governorate of Grand Algiers.
12,Algeria,2015,Urban population (percent),,,70.8,
12,Algeria,2015,Urban population (percent growth rate per annum),,,2.9,Data refers to a 5-year period preceding the reference year.
12,Algeria,2015,Rural population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.
12,Algeria,2015,Capital city population (thousands),Algiers,,"2,592",Refers to the Governorate of Grand Algiers.
12,Algeria,2015,Capital city population (as a percentage of total population),Algiers,,6.5,Refers to the Governorate of Grand Algiers.
12,Algeria,2015,Capital city population (as a percentage of total urban population),Algiers,,9.2,Refers to the Governorate of Grand Algiers.
12,Algeria,2018,Urban population (percent),,,72.6,
12,Algeria,2018,Capital city population (thousands),Algiers,,"2,694",Refers to the Governorate of Grand Algiers.
16,American Samoa,2005,Urban population (percent),,,88.1,
16,American Samoa,2005,Urban population (percent growth rate per annum),,,0.4,Data refers to a 5-year period preceding the reference year.
16,American Samoa,2005,Rural population (percent growth rate per annum),,,1.4,Data refers to a 5-year period preceding the reference year.
16,American Samoa,2010,Urban population (percent),,,87.6,
16,American Samoa,2010,Urban population (percent growth rate per annum),,,-1.3,Data refers to a 5-year period preceding the reference year.
16,American Samoa,2010,Rural population (percent growth rate per annum),,,-0.4,Data refers to a 5-year period preceding the reference year.
16,American Samoa,2015,Urban population (percent),,,87.2,
16,American Samoa,2015,Urban population (percent growth rate per annum),,,-0.1,Data refers to a 5-year period preceding the reference year.
16,American Samoa,2015,Rural population (percent growth rate per annum),,,0.5,Data refers to a 5-year period preceding the reference year.
16,American Samoa,2018,Urban population (percent),,,87.2,
16,American Samoa,2018,Capital city population (thousands),Pago Pago,,49,
20,Andorra,2005,Urban population (percent),,,90.3,
20,Andorra,2005,Urban population (percent growth rate per annum),,,3.3,Data refers to a 5-year period preceding the reference year.
20,Andorra,2005,Rural population (percent growth rate per annum),,,8.6,Data refers to a 5-year period preceding the reference year.
20,Andorra,2010,Urban population (percent),,,88.8,
20,Andorra,2010,Urban population (percent growth rate per annum),,,1,Data refers to a 5-year period preceding the reference year.
20,Andorra,2010,Rural population (percent growth rate per annum),,,4.2,Data refers to a 5-year period preceding the reference year.
20,Andorra,2015,Urban population (percent),,,88.3,
20,Andorra,2015,Urban population (percent growth rate per annum),,,-1.7,Data refers to a 5-year period preceding the reference year.
20,Andorra,2015,Rural population (percent growth rate per annum),,,-0.8,Data refers to a 5-year period preceding the reference year.
20,Andorra,2018,Urban population (percent),,,88.1,
20,Andorra,2018,Capital city population (thousands),Andorra la Vella,,23,
24,Angola,2005,Urban population (percent),,,56,
24,Angola,2005,Urban population (percent growth rate per annum),,,5.7,Data refers to a 5-year period preceding the reference year.
24,Angola,2005,Rural population (percent growth rate per annum),,,0.9,Data refers to a 5-year period preceding the reference year.
24,Angola,2005,Capital city population (thousands),Luanda,,"3,872",Refers to the urban population of the province of Luanda.
24,Angola,2005,Capital city population (as a percentage of total population),Luanda,,19.8,Refers to the urban population of the province of Luanda.
24,Angola,2005,Capital city population (as a percentage of total urban population),Luanda,,35.4,Refers to the urban population of the province of Luanda.
24,Angola,2010,Urban population (percent),,,59.8,
24,Angola,2010,Urban population (percent growth rate per annum),,,4.9,Data refers to a 5-year period preceding the reference year.
24,Angola,2010,Rural population (percent growth rate per annum),,,1.8,Data refers to a 5-year period preceding the reference year.
24,Angola,2010,Capital city population (thousands),Luanda,,"5,300",Refers to the urban population of the province of Luanda.
24,Angola,2010,Capital city population (as a percentage of total population),Luanda,,22.7,Refers to the urban population of the province of Luanda.
24,Angola,2010,Capital city population (as a percentage of total urban population),Luanda,,37.9,Refers to the urban population of the province of Luanda.
24,Angola,2015,Urban population (percent),,,63.4,
24,Angola,2015,Urban population (percent growth rate per annum),,,4.7,Data refers to a 5-year period preceding the reference year.
24,Angola,2015,Rural population (percent growth rate per annum),,,1.6,Data refers to a 5-year period preceding the reference year.
24,Angola,2015,Capital city population (thousands),Luanda,,"7,023",Refers to the urban population of the province of Luanda.
24,Angola,2015,Capital city population (as a percentage of total population),Luanda,,25.2,Refers to the urban population of the province of Luanda.
24,Angola,2015,Capital city population (as a percentage of total urban population),Luanda,,39.7,Refers to the urban population of the province of Luanda.
24,Angola,2018,Urban population (percent),,,65.5,
24,Angola,2018,Capital city population (thousands),Luanda,,"7,774",Refers to the urban population of the province of Luanda.
660,Anguilla,2005,Urban population (percent),,,100,
660,Anguilla,2005,Urban population (percent growth rate per annum),,,2.6,Data refers to a 5-year period preceding the reference year.
660,Anguilla,2005,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
660,Anguilla,2010,Urban population (percent),,,100,
660,Anguilla,2010,Urban population (percent growth rate per annum),,,1.7,Data refers to a 5-year period preceding the reference year.
660,Anguilla,2010,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
660,Anguilla,2015,Urban population (percent),,,100,
660,Anguilla,2015,Urban population (percent growth rate per annum),,,1.2,Data refers to a 5-year period preceding the reference year.
660,Anguilla,2015,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
660,Anguilla,2018,Urban population (percent),,,100,
660,Anguilla,2018,Capital city population (thousands),The Valley,,1,
28,Antigua and Barbuda,2005,Urban population (percent),,,29.2,
28,Antigua and Barbuda,2005,Urban population (percent growth rate per annum),,,-0.6,Data refers to a 5-year period preceding the reference year.
28,Antigua and Barbuda,2005,Rural population (percent growth rate per annum),,,2.2,Data refers to a 5-year period preceding the reference year.
28,Antigua and Barbuda,2010,Urban population (percent),,,26.2,
28,Antigua and Barbuda,2010,Urban population (percent growth rate per annum),,,-1,Data refers to a 5-year period preceding the reference year.
28,Antigua and Barbuda,2010,Rural population (percent growth rate per annum),,,2,Data refers to a 5-year period preceding the reference year.
28,Antigua and Barbuda,2015,Urban population (percent),,,25,
28,Antigua and Barbuda,2015,Urban population (percent growth rate per annum),,,0.1,Data refers to a 5-year period preceding the reference year.
28,Antigua and Barbuda,2015,Rural population (percent growth rate per annum),,,1.4,Data refers to a 5-year period preceding the reference year.
28,Antigua and Barbuda,2018,Urban population (percent),,,24.6,
28,Antigua and Barbuda,2018,Capital city population (thousands),Saint John's,,21,
32,Argentina,2005,Urban population (percent),,,90,
32,Argentina,2005,Urban population (percent growth rate per annum),,,1.3,Data refers to a 5-year period preceding the reference year.
32,Argentina,2005,Rural population (percent growth rate per annum),,,-0.6,Data refers to a 5-year period preceding the reference year.
32,Argentina,2005,Capital city population (thousands),Buenos Aires,,"13,330",Refers to Gran Buenos Aires.
32,Argentina,2005,Capital city population (as a percentage of total population),Buenos Aires,,34.1,Refers to Gran Buenos Aires.
32,Argentina,2005,Capital city population (as a percentage of total urban population),Buenos Aires,,37.8,Refers to Gran Buenos Aires.
32,Argentina,2010,Urban population (percent),,,90.8,
